n,convergence_ms
8,4
12,3
18,3
27,3
40,4
60,5
90,5
135,9
202,12
303,25
454,17
681,53
1021,53
1531,86
2296,166
3444,345
5166,768
7749,1833
11623,4028
17434,7713
26151,20355
