n,convergence_ms
8,4
12,2
18,3
27,4
40,4
60,4
90,7
135,4
202,6
303,11
454,19
681,123
1021,90
1531,98
2296,183
3444,374
5166,940
7749,2704
11623,6017
17434,14997
