n,convergence_ms
10,2
15,3
22,2
33,3
49,4
73,4
109,5
163,5
244,7
366,10
549,15
823,25
1234,45
1851,100
2776,189
4164,383
6246,800
9369,1923
14053,3853
21079,10741
31618,49999
