n,convergence_ms
8,6
12,5
18,5
27,4
40,4
60,4
90,4
135,4
202,5
303,7
454,12
681,20
1021,34
1531,68
2296,135
3444,284
5166,553
7749,1136
11623,3130
17434,7220
26151,19523
39226,54529
