n,convergence_ms
8,18
12,7
18,5
27,8
40,5
60,12
90,10
135,8
202,8
303,13
454,14
681,25
1021,40
1531,90
2296,212
3444,449
5166,772
7749,2007
11623,4526
17434,8025
26151,20387
39226,48488
